10179EULER          LENNIE         LTHREE RIVERS, MICHIGAN 6290017M1MATH 15383
10191NAKAMURA       TOKY           OCHICAGO, ILLINOIS      4249665F1SOCI 12195
10226FREUD          FRED           ELYNDEN, WASHINGTON     8340115M1PSYC 15185
10272SPEARSHAKE     WILLIAM        WGRAND RAPIDS, MICHIGAN 2410744M5ENGL102295
10103JOHNSON        JAMES          LWAUPUN, WISCONSIN      7345229M1ENGR 15315
10104ANDREWS        PETER          JGRAND RAPIDS, MICHIGAN 9493301M2CPSC 42278
10110PETERS         ANDREW         JLYNDEN, WASHINGTON     3239550M5ART  63205
10113VANDENVANDER   VANNESSA       VFREMONT, MICHIGAN      5509237F4HIST110374
10126ARISTOTLE      ALICE          ACHINO, CALIFORNIA      3330861F3PHIL 78310
10144LUCKY          LUCY           LGRANDVILLE, MICHIGAN   7745424F5HIST 66229
10274TCHAIKOVSKY    WOLFGANG       ABYRON CENTER, MICHIGAN 8845115M3MUSC 79275
10284ORANGE         DUTCH          VGRAAFSCHAAP, MICHIGAN  3141660M2ENGR 42298
10297CAESAR         JULIE          SDENVER, COLORADO       4470338F4HIST117325
10298PSYCHO         PRUNELLA       EDE MOTTE, INDIANA      5384609F4PSYC120299
10301BULL           SITTING        UGALLUP, NEW MEXICO     6632997M1EDUC 14195
10302CUSTER         GENERAL        GBADLANDS, SOUTH DAKOTA 5552992M3HIST 40195
10303FAHRENHEIT     FELICIA        OSHEBOYGAN, WISCONSIN   5154997F2CHEM 40385
10304DEUTSCH        SPRECHEN       ZSPARTA, MICHIGAN       8861201F5GERM 14305
10307MENDELSSOHN    MOZART         WPEORIA, ILLINOIS       2410744M3MUSC 76287
10310AUGUSTA        ADA            BLAKEWOOD, CALIFORNIA   7172339F2CPSC 46383
10319GAUSS          CARL           FYORKTOWN, PENNSYLVANIA 3385494M2MATH 41400
10323KRONECKER      LEO            PTRAVERSE CITY, MICHIGAN6763991M3MATH 77275
10330ISSACSON       JACOB          ASILVER SPRINGS, MD     4847932M5RELI 25299
10422GESTALT        GLORIA         GWHEATON, ILLINOIS      6631212F2PSYC 42248
10431GOTODIJKSTRA   EDGAR          GCAWKER CITY, KANSAS    6349971M1CPSC 15400
10448REMBRANDT      ROBERTA        ESIOUX CENTER, IOWA     2408113F1ART  77220
10458SHOEMAKER      IMELDA         MHONOLULU, HAWAII       9193001F1POLS 15315
